Region/Country/Area,,Year,Series,Value,Footnotes,Source
419,Latin America & the Caribbean,2010,Researchers per million inhabitants (FTE),430.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
419,Latin America & the Caribbean,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
419,Latin America & the Caribbean,2015,Researchers per million inhabitants (FTE),526.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
419,Latin America & the Caribbean,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
419,Latin America & the Caribbean,2020,Researchers per million inhabitants (FTE),613.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
143,Central Asia,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
143,Central Asia,2005,Researchers per million inhabitants (FTE),458.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
143,Central Asia,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
143,Central Asia,2010,Researchers per million inhabitants (FTE),391,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
143,Central Asia,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
143,Central Asia,2015,Researchers per million inhabitants (FTE),496.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
143,Central Asia,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
143,Central Asia,2020,Researchers per million inhabitants (FTE),440.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
30,Eastern Asia,2005,Gross domestic expenditure on R&D: as a percentage of GDP,2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
30,Eastern Asia,2005,Researchers per million inhabitants (FTE),"1,079.20",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
30,Eastern Asia,2010,Gross domestic expenditure on R&D: as a percentage of GDP,2.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
30,Eastern Asia,2010,Researchers per million inhabitants (FTE),"1,390.60",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
30,Eastern Asia,2015,Gross domestic expenditure on R&D: as a percentage of GDP,2.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
30,Eastern Asia,2015,Researchers per million inhabitants (FTE),"1,678.10",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
30,Eastern Asia,2020,Gross domestic expenditure on R&D: as a percentage of GDP,2.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
30,Eastern Asia,2020,Researchers per million inhabitants (FTE),"2,131.00",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
